,AGE,APG,BPG,BPM,DBPM,DRBG,DWS,FPG,GP,OBPM,ORBG,OWS,PER,PPG,RPG,SPG,TPG,USG,Unnamed: 0,VORP,WS,YEAR
0,26.13141026,1.652942776,,,,,1.062820513,2.450932991,42.88461538,,,0.9131410256,,6.603312753,,,,,155.5,,1.976602564,1950
1,2.986363531,0.9933058866,,,,,1.287097382,1.006839755,22.09755091,,,2.319064093,,4.093047479,,,,,90.21086409,,2.873249054,0
2,26.34482759,1.842434541,,,,,1.133532934,2.593492992,43.8908046,,,1.101796407,,7.259842911,4.115055339,,,,399.5,,2.237125749,1951
3,2.988717072,1.138180212,,,,,1.185434229,0.9692799498,22.6986956,,,2.691138359,,4.522443131,2.724755307,,,,50.3736042,,3.497356851,0
4,26.13076923,2.059983317,,,,,1.346456693,2.745324668,49.41538462,,,1.286614173,12.51181102,7.943562247,4.599749023,,,,552.5,,2.637007874,1952
5,2.734756091,1.33344957,,,,,1.337600035,0.9224120981,21.12377132,,,2.651066338,5.613498671,4.794784729,3.005680703,,,,37.67182855,,3.436401845,0
6,26.01886792,1.905308168,,,,,1.286792453,2.836787795,45.725,,,1.095597484,11.69874214,7.322402977,4.143867614,,,,698.5,,2.383018868,1953
7,3.030377213,1.249478238,,,,,1.350438898,0.9259994091,25.03430351,,,2.377833976,6.325966053,4.510544054,2.960594095,,,,46.33213428,,3.327811604,0
8,25.76923077,1.783464409,,,,,1.356589147,2.413427832,49.86259542,,,1.328682171,11.89379845,7.034637932,4.077254768,,,,845,,2.691472868,1954
9,3.033504028,1.272967529,,,,,1.414591646,0.8973267155,26.33680179,,,2.773203072,8.654530533,4.753195101,3.154118611,,,,37.96050579,,3.660879142,0
10,25.9537037,2.186310435,,,,,1.502105263,2.34538206,51.09174312,,,1.444210526,12.17052632,8.146222526,4.683614061,,,,966,,2.947368421,1955
11,2.990277889,1.604903254,,,,,1.277545764,1.011184978,26.21864663,,,2.684657583,6.111305771,5.443330016,3.2580044,,,,31.6095977,,3.52661136,0
12,25.81372549,2.252983962,,,,,1.521904762,2.528571283,56.40566038,,,1.313333333,12.77047619,8.943392917,4.967089599,,,,1074.5,,2.834285714,1956
13,3.263146729,1.586218477,,,,,1.140595404,0.978918011,21.8339091,,,2.611883592,5.120996068,5.309040755,3.413636905,,,,30.74356301,,3.262161523,0
14,26.01886792,1.723918136,,,,,1.440384615,2.38655339,54.18691589,,,1.376923077,12.37211538,9.00057464,5.163803066,,,,1182,,2.821153846,1957
15,3.263013892,1.280310901,,,,,1.168728396,0.9347561517,23.8545636,,,2.621651105,7.490854706,5.513275537,3.616365743,,,,31.0322413,,3.231419571,0
16,26.12612613,1.696050734,,,,,1.323423423,2.325237828,52.33333333,,,1.296396396,11.98468468,9.117885494,5.419782847,,,,1292,,2.625225225,1958
17,2.923625138,1.446604844,,,,,1.28586405,0.9942085086,23.6213822,,,2.707428432,6.022808137,6.191013873,4.03487529,,,,32.18695388,,3.500791299,0
18,25.98181818,1.877997595,,,,,1.389090909,2.438202094,55.31818182,,,1.350909091,13.26636364,9.926581448,5.488403849,,,,1403.5,,2.737272727,1959
19,2.876611852,1.461839904,,,,,1.275337369,0.9218607431,20.90078433,,,2.648757557,4.829273831,6.08426447,3.62413995,,,,31.89827582,,3.431662049,0
20,26.05128205,1.999009885,,,,,1.330701754,2.487093387,53.26495726,,,1.344736842,12.26403509,10.09993545,5.782394997,,,,1518,,2.672807018,1960
